P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA	Col	BH	Col2
sean_118	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0675676	15.5512	0	0.039473	172063	141551	123634	chocolate	0	black
sean_118	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0672402	15.5636	0	0.0348325	173455	141628	123782	chocolate	0	black
sean_118	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0631296	14.6057	0	0.0348724	171437	140728	124015	chocolate	0	black
T115_Jobson_1398	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0392871	12.4371	0	0.0250359	177558	148107	136910	chocolate	0	black
T115_Jobson_1398	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0391983	12.1339	0	0.022128	179030	148264	137079	chocolate	0	black
T115_Jobson_1398	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0372475	11.768	0	0.0223475	177054	147407	136820	chocolate	0	black
T126_Jobson_1893	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0298524	11.0969	0	0.0193122	177991	147754	139188	chocolate	0	black
T126_Jobson_1893	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0278419	9.86095	0	0.0169233	177467	147035	139069	chocolate	0	black
T126_Jobson_1893	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0275998	10.5901	0	0.0157946	179246	147694	139760	chocolate	0	black
T142_Jobson_2544	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0510408	13.079	0	0.0324357	177729	150427	135816	chocolate	0	black
T142_Jobson_2544	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0483888	12.8008	0	0.0273153	178903	150284	136411	chocolate	0	black
T142_Jobson_2544	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0477115	12.5947	0	0.0286171	177106	149607	135981	chocolate	0	black
T147_Jobson_2198	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0284932	9.69418	0	0.018347	176955	146995	138850	chocolate	0	black
T147_Jobson_2198	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0274598	9.44713	0	0.0156783	178369	147093	139231	chocolate	0	black
T147_Jobson_2198	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0270207	9.7833	0	0.0163614	176502	146346	138646	chocolate	0	black
T149_Jobson_2287	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0287132	11.2628	0	0.0184984	176903	147099	138887	chocolate	0	black
T149_Jobson_2287	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0272694	10.7763	0	0.0155823	178265	147145	139333	chocolate	0	black
T149_Jobson_2287	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0266751	10.8984	0	0.0161753	176459	146459	138848	chocolate	0	black
T170_Jobson_3036	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0452328	13.8305	0	0.0286405	176880	148311	135474	chocolate	0	black
T170_Jobson_3036	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0440098	13.5348	0	0.0247142	178249	148364	135855	chocolate	0	black
T170_Jobson_3036	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0412858	13.498	0	0.0245957	176256	147491	135795	chocolate	0	black
T174_Jobson_3055	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0487752	14.573	0	0.0304837	176611	147410	133699	chocolate	0	black
T174_Jobson_3055	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0476358	14.2136	0	0.0264114	177963	147446	134037	chocolate	0	black
T174_Jobson_3055	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0452114	13.8403	0	0.0267004	176033	146635	133950	chocolate	0	black
T176_Jobson_3066	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0489115	13.7816	0	0.0305563	176632	147441	133691	chocolate	0	black
T176_Jobson_3066	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.047523	13.3078	0	0.0263331	177954	147448	134070	chocolate	0	black
T176_Jobson_3066	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0450329	13.4593	0	0.0265453	175960	146573	133941	chocolate	0	black
T181_Jobson_3075	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0464758	12.5777	0	0.0293065	176624	148032	134884	chocolate	0	black
T181_Jobson_3075	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0447773	12.4041	0	0.0250267	177963	148055	135364	chocolate	0	black
T181_Jobson_3075	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0426174	12.0946	0	0.02532	175979	147191	135158	chocolate	0	black
T186_Jobson_3092	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0534658	14.986	0	0.0329795	176270	146749	131854	chocolate	0	black
T186_Jobson_3092	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0521704	14.2043	0	0.0285971	177576	146740	132188	chocolate	0	black
T186_Jobson_3092	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0497823	14.9959	0	0.0290445	175684	145967	132123	chocolate	0	black
T201_Jobson_3204	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0313513	11.7021	0	0.0201156	176914	147163	138216	chocolate	0	black
T201_Jobson_3204	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.030392	11.4622	0	0.0172955	178318	147251	138564	chocolate	0	black
T201_Jobson_3204	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0294511	11.4417	0	0.0177793	176451	146503	138121	chocolate	0	black
T203_Jobson_3212	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0345888	12.4565	0	0.022122	176817	147854	137968	chocolate	0	black
T203_Jobson_3212	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0333533	12.0422	0	0.0189735	178207	147928	138378	chocolate	0	black
T203_Jobson_3212	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0316872	11.3534	0	0.0191476	176206	147046	138013	chocolate	0	black
T284_Jobson_3508	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0383164	11.6406	0	0.0243793	176444	147471	136587	chocolate	0	black
T284_Jobson_3508	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0368926	10.6782	0	0.0208137	177795	147507	137010	chocolate	0	black
T284_Jobson_3508	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0359112	10.7234	0	0.021518	175945	146776	136599	chocolate	0	black
T429_Jobson_1522	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.047916	14.9518	0	0.0301167	177265	147936	134407	chocolate	0	black
T429_Jobson_1522	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.046159	14.3751	0	0.0257764	178597	147952	134896	chocolate	0	black
T429_Jobson_1522	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0447028	14.2648	0	0.0264763	176645	147120	134529	chocolate	0	black
T477_Jobson_3057	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0480907	15.0259	0	0.0302871	176967	148080	134491	chocolate	0	black
T477_Jobson_3057	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0456247	13.289	0	0.0254772	178184	147982	135068	chocolate	0	black
T477_Jobson_3057	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0436609	13.5265	0	0.0259303	176265	147183	134868	chocolate	0	black
T480_Jobson_3060	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0515385	13.6175	0	0.0320693	176146	147250	132816	chocolate	0	black
T480_Jobson_3060	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0496323	12.4854	0	0.0273672	177423	147211	133289	chocolate	0	black
T480_Jobson_3060	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0473773	12.47	0	0.0278259	175509	146418	133171	chocolate	0	black
T481_Jobson_3061	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0536667	13.87	0	0.03317	176349	146837	131880	chocolate	0	black
T481_Jobson_3061	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0524077	13.1361	0	0.028732	177664	146837	132212	chocolate	0	black
T481_Jobson_3061	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.049793	13.026	0	0.0290159	175715	146007	132156	chocolate	0	black
T488_Jobson_3088	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0499198	14.3702	0	0.0311354	176412	147406	133388	chocolate	0	black
T488_Jobson_3088	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0490129	13.4076	0	0.0271756	177786	147464	133684	chocolate	0	black
T488_Jobson_3088	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0460215	13.4258	0	0.0271662	175752	146550	133654	chocolate	0	black
